"","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.DATE","high.end"
"28",1,"ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2",393,46,NA,"D1","379 EAST 10TH STREET","",10009,13,0,13,"2,369","8,493",2001,2,"D1","08/08/2019","0"
"29",1,"ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2",406,48,NA,"D9","531 EAST 12TH STREET","",10009,26,1,27,"5,163","29,960",2009,2,"D9","11/01/2018","1"
"31",1,"ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2",406,48,NA,"D9","531 EAST 12TH STREET","",10009,26,1,27,"5,163","29,960",2009,2,"D9","11/01/2018","0"
"32",1,"ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2",406,48,NA,"D9","531 EAST 12TH STREET","",10009,26,1,27,"5,163","29,960",2009,2,"D9","11/01/2018","0"
"33",1,"ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2",406,48,NA,"D9","531 EAST 12TH STREET","",10009,26,1,27,"5,163","29,960",2009,2,"D9","11/01/2018","0"
"35",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",374,65,NA,"C6","309 EAST 4TH STREET, 1D","",10009,0,0,0,"0","0",1900,2,"C6","04/30/2019","0"
"37",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",376,18,NA,"C6","252 EAST 7TH STREET, 7-8","",10009,0,0,0,"0","0",1928,2,"C6","12/19/2018","0"
"41",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",377,62,NA,"C6","249 EAST 7TH STREET, 10","",10009,0,0,0,"0","0",2001,2,"C6","12/10/2018","0"
"42",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",377,67,NA,"C6","241 EAST 7TH STREET, 2A","",10009,0,0,0,"0","0",1900,2,"C6","11/29/2018","0"
"43",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",379,15,NA,"C6","414 EAST 10TH STREET, 2C","",10009,0,0,0,"0","0",1930,2,"C6","09/24/2019","0"
"45",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",379,15,NA,"C6","414 EAST 10 STREET, 5A","",10009,0,0,0,"0","0",1930,2,"C6","10/29/2018","0"
"46",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",379,48,NA,"C6","733 EAST 9TH STREET, 3D","",10009,0,0,0,"0","0",1900,2,"C6","05/15/2019","0"
"47",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",387,37,NA,"C6","55 AVENUE C, 24","",10009,0,0,0,"0","0",1900,2,"C6","06/03/2019","0"
"48",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",389,21,NA,"C6","206 EAST 7TH, 6","",10009,0,0,0,"0","0",1900,2,"C6","05/10/2019","0"
"49",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",389,30,NA,"C6","224 EAST 7TH STREET, 13","",10009,0,0,0,"0","0",1950,2,"C6","10/24/2018","0"
"50",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",389,30,NA,"C6","224 EAST 7TH STREET, 1","",10009,0,0,0,"0","0",1950,2,"C6","10/09/2018","0"
"51",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",391,14,NA,"C6","618 EAST 9TH STREET, 5W","",10009,0,0,0,"0","0",1910,2,"C6","07/25/2019","0"
"52",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",391,14,NA,"C6","618 EAST 9TH STREET, 4W","",10009,0,0,0,"0","0",1910,2,"C6","01/22/2019","0"
"53",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",391,14,NA,"C6","618 EAST 9TH STREET, 5W","",10009,0,0,0,"0","0",1910,2,"C6","10/31/2018","0"
"54",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",391,48,NA,"C6","323 EAST 8TH STREET, 1B","",10009,0,0,0,"0","0",1910,2,"C6","08/20/2019","0"
"55",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",391,48,NA,"C6","323 EAST 8TH STREET, 4C","",10009,0,0,0,"0","0",1910,2,"C6","06/21/2019","0"
"58",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",396,20,NA,"C6","634 EAST 14TH STREET, 11","",10009,0,0,0,"0","0",1920,2,"C6","04/04/2019","0"
"59",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",396,20,NA,"C6","636 EAST 14TH STREET, 3","",10009,0,0,0,"0","0",1920,2,"C6","01/31/2019","0"
"60",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",400,45,NA,"C6","225 EAST 4TH STREET, 14","",10009,0,0,0,"0","0",1937,2,"C6","09/12/2019","0"
"62",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",400,47,NA,"C6","223 EAST 4TH STREET, 16","",10009,0,0,0,"0","0",1937,2,"C6","07/12/2019","0"
"64",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",404,21,NA,"C6","534 EAST 11TH STREET, 5","",10009,0,0,0,"0","0",1920,2,"C6","04/17/2019","0"
"65",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",406,18,NA,"C6","524 EAST 13TH STREET, B4","",10009,0,0,0,"0","0",1925,2,"C6","01/24/2019","0"
"66",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",406,50,NA,"C6","527 EAST 12TH STREET, MW","",10009,0,0,0,"0","0",1901,2,"C6","10/29/2018","0"
"67",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",406,50,NA,"C6","527 EAST 12 STREET, A2","",10009,0,0,0,"0","0",1901,2,"C6","10/09/2018","0"
"68",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",406,61,NA,"C6","507 EAST 12TH STREET, 1C","",10009,0,0,0,"0","0",1900,2,"C6","11/08/2018","0"
"69",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2",406,61,NA,"C6","507 EAST 12TH STREET, 3C","",10009,0,0,0,"0","0",1900,2,"C6","10/31/2018","0"
"70",1,"ALPHABET CITY","10 COOPS - ELEVATOR APARTMENTS","2",382,100,NA,"D4","411 EAST 10TH STREET, 24B","",10009,0,0,0,"0","0",1950,2,"D4","08/29/2019","0"
"71",1,"ALPHABET CITY","10 COOPS - ELEVATOR APARTMENTS","2",382,100,NA,"D4","170 AVENUE C, 3E","",10009,0,0,0,"0","0",1950,2,"D4","06/10/2019","0"
"72",1,"ALPHABET CITY","10 COOPS - ELEVATOR APARTMENTS","2",385,56,NA,"D4","226 EAST 2ND STREET, 1D","",10009,0,0,0,"0","0",1900,2,"D4","07/18/2019","0"
"73",1,"ALPHABET CITY","10 COOPS - ELEVATOR APARTMENTS","2",386,36,NA,"D0","300 EAST 4TH STREET, 4B","",10009,0,0,0,"0","0",1940,2,"D0","08/08/2019","0"
"74",1,"ALPHABET CITY","10 COOPS - ELEVATOR APARTMENTS","2",386,36,NA,"D0","300 EAST 4TH STREET, 4D","",10009,0,0,0,"0","0",1940,2,"D0","04/05/2019","0"
"75",1,"ALPHABET CITY","10 COOPS - ELEVATOR APARTMENTS","2",386,58,NA,"D4","223-25 EAST 3 STREET, 2A","",10009,0,0,0,"0","0",1900,2,"D4","06/28/2019","0"
"76",1,"ALPHABET CITY","10 COOPS - ELEVATOR APARTMENTS","2",398,8,NA,"D4","160 EAST 3RD STREET, 3D","",10009,0,0,0,"0","0",1940,2,"D4","09/20/2019","0"
"78",1,"ALPHABET CITY","12 CONDOS - WALKUP APARTMENTS","2",398,1020,NA,"R2","182 EAST 2ND STREET, 3F","3F",10009,0,0,0,"0","723",0,2,"R2","07/12/2019","0"
"79",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",373,1008,NA,"R4","324 EAST 4TH STREET, 5B","5B",10009,0,0,0,"0","588",1920,2,"R4","09/20/2019","0"
"81",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",375,1017,NA,"R4","754 EAST 6TH STREET, 5A","5A",10009,0,0,0,"0","955",0,2,"R4","04/11/2019","0"
"82",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",378,1005,NA,"R4","399 EAST 8TH STREET, 2C","2C",10009,0,0,0,"0","495",2014,2,"R4","03/25/2019","0"
"83",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",378,1009,NA,"R4","399 EAST 8TH STREET, 3C","3C",10009,0,0,0,"0","495",2014,2,"R4","03/07/2019","0"
"84",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",378,1010,NA,"R4","399 EAST 8TH STREET","3D",10009,0,0,0,"0","733",2014,2,"R4","10/09/2018","0"
"85",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",378,1012,NA,"R4","399 EAST 8TH STREET, 4B","4B",10009,0,0,0,"0","481",2014,2,"R4","03/07/2019","0"
"86",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",378,1021,NA,"R4","399 EAST 8TH STREET, 6C","6C",10009,0,0,0,"0","495",2014,2,"R4","03/07/2019","0"
"90",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",378,1025,NA,"R4","399 EAST 8TH STREET, 7C","7C",10009,0,0,0,"0","495",2014,2,"R4","02/19/2019","0"
"91",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",384,1205,NA,"R4","310 EAST HOUSTON STREET, 3C","3C",10002,0,0,0,"0","931",2005,2,"R4","07/19/2019","0"
"92",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",384,1210,NA,"R4","310 EAST HOUSTON STREET, 4B","4B",10002,0,0,0,"0","601",2005,2,"R4","07/18/2019","0"
"93",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",392,1009,NA,"R4","143 AVENUE B, 3D","3D",10009,0,0,0,"0","852",1928,2,"R4","07/29/2019","0"
"94",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",394,1532,NA,"R4","189 AVENUE C","9B",10009,0,0,0,"0","1,124",1910,2,"R4","11/30/2018","0"
"95",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",396,1007,NA,"R4","215 AVENUE B","1007",10009,0,0,0,"0","528",2008,2,"R4","10/25/2018","0"
"96",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",397,1113,NA,"R4","240 EAST HOUSTON STREET, 4E","4E",10002,0,0,0,"0","1,000",0,2,"R4","02/05/2019","0"
"97",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",402,1325,NA,"R4","100 AVENUE A, 6D","6D",10009,0,0,0,"0","1,022",2014,2,"R4","05/31/2019","0"
"98",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",405,1311,NA,"R4","525 EAST 11TH STREET, 4D","4D",10009,0,0,0,"0","433",1965,2,"R4","04/29/2019","0"
"99",1,"ALPHABET CITY","13 CONDOS - ELEVATOR APARTMENTS","2",405,1324,NA,"R4","525 EAST 11TH STREET, 7A","7A",10009,0,0,0,"0","1,039",1965,2,"R4","05/03/2019","0"
"100",1,"ALPHABET CITY","17 CONDO COOPS","2",389,1003,NA,"R9","99 AVENUE B, 1C","",10009,0,0,0,"0","0",1900,2,"R9","08/07/2019","0"
"101",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2A",377,50,NA,"C2","275 EAST 7TH STREET, 3","",10009,5,0,5,"2,169","6,294",1900,2,"C2","08/06/2019","0"
"102",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2A",377,50,NA,"C2","275 EAST 7TH STREET, GD","",10009,5,0,5,"2,169","6,294",1900,2,"C2","01/25/2019","0"
"103",1,"ALPHABET CITY","14 RENTALS - 4-10 UNIT","2A",406,35,NA,"S3","204 AVENUE B","",10009,3,1,4,"1,110","3,228",1929,2,"S3","02/08/2019","0"
"104",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B",379,25,NA,"C7","434 EAST 10TH STREET, 4","",10009,7,1,8,"4,337","14,347",1920,2,"C7","05/22/2019","0"
"106",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B",393,36,NA,"C7","169 AVENUE C, 3B","",10009,8,2,10,"1,909","7,437",1920,2,"C7","04/18/2019","0"
"107",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B",393,38,NA,"C7","165 AVENUE C, 5B","",10009,8,2,10,"1,916","7,485",1920,2,"C7","01/31/2019","0"
"108",1,"ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2B",400,17,NA,"C4","522 EAST 5TH STREET","",10009,10,0,10,"2,348","6,812",1900,2,"C4","10/17/2018","0"
"112",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2C",389,48,NA,"C6","625 EAST 6TH STREET, 8","",10009,0,0,0,"0","0",1910,2,"C6","06/25/2019","0"
"113",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2C",389,50,NA,"C6","621 EAST 6TH STREET, 9","",10009,0,0,0,"0","0",1920,2,"C6","10/25/2018","0"
"114",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2C",401,14,NA,"C6","508 E 6 ST","",10009,0,0,0,"0","0",1900,2,"C6","11/15/2018","0"
"115",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2C",401,22,NA,"C6","524 EAST 6TH STREET, 10","",10009,0,0,0,"0","0",1900,2,"C6","04/30/2019","0"
"116",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2C",402,49,NA,"C6","533 EAST 6TH STREET, 6","",10009,0,0,0,"0","0",1900,2,"C6","05/31/2019","0"
"117",1,"ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2C",404,50,NA,"C6","311 EAST 10TH STREET, 5B","",10009,0,0,0,"0","0",1900,2,"C6","04/12/2019","0"
"118",1,"ALPHABET CITY","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",377,1001,NA,"R1","366 EAST 8TH STREET, 1","1",10009,0,0,0,"0","1,020",0,2,"R1","02/21/2019","0"
"119",1,"ALPHABET CITY","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",377,1103,NA,"R1","259 EAST 7 STREET, 1B","1B",10009,0,0,0,"0","1,539",0,2,"R1","03/15/2019","0"
"120",1,"ALPHABET CITY","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",377,1105,NA,"R1","259 EAST 7TH STREET, 2B","2B",10009,0,0,0,"0","1,539",0,2,"R1","02/11/2019","1"
"121",1,"ALPHABET CITY","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",377,1106,NA,"R1","259 EAST 7TH STREET, 3A","3A",10009,0,0,0,"0","2,476",0,2,"R1","02/14/2019","1"
"122",1,"ALPHABET CITY","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",405,1001,NA,"R1","517 EAST 11TH STREET, 1","1",10009,0,0,0,"0","1,295",0,2,"R1","02/27/2019","0"
"123",1,"ALPHABET CITY","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",405,1103,NA,"R1","549 EAST 11TH STREET","B1",10009,0,0,0,"0","815",0,2,"R1","11/13/2018","0"
"124",1,"ALPHABET CITY","16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT","2C",387,1001,NA,"R8","67 AVENUE C, C1","C1",10009,0,0,0,"0","1,772",1951,2,"R8","03/26/2019","0"
"125",1,"ALPHABET CITY","22 STORE BUILDINGS","4",404,23,NA,"K4","538 EAST 11TH STREET","",10009,1,1,2,"4,845","10,968",1904,4,"K4","10/25/2018","1"
"126",1,"ALPHABET CITY","31 COMMERCIAL VACANT LAND","4",384,21,NA,"V1","N/A EAST 2ND STREET","",0,0,0,0,"3,989","0",0,4,"V1","12/19/2018","0"
"127",1,"CHELSEA","13 CONDOS - ELEVATOR APARTMENTS","",700,1103,NA,"","550 WEST 29TH STREET, 2B","",0,0,0,0,"0","0",0,2,"R4","09/25/2019","1"
"129",1,"CHELSEA","13 CONDOS - ELEVATOR APARTMENTS","",700,1117,NA,"","550 WEST 29TH STREET, 10A","",0,0,0,0,"0","0",0,2,"R4","09/26/2019","1"
"130",1,"CHELSEA","01 ONE FAMILY DWELLINGS","1",693,39,NA,"S1","504 WEST 22ND STREET","",10011,1,1,2,"1,102","5,390",1910,1,"S1","02/28/2019","0"
"132",1,"CHELSEA","01 ONE FAMILY DWELLINGS","1",720,6,NA,"A4","483 WEST 22ND STREET","",10011,1,0,1,"1,562","4,150",1901,1,"A4","09/03/2019","1"
"133",1,"CHELSEA","01 ONE FAMILY DWELLINGS","1",722,73,NA,"A5","462 WEST 25TH STREET","",10001,1,0,1,"1,370","4,290",1970,1,"A5","12/18/2018","1"
"135",1,"CHELSEA","01 ONE FAMILY DWELLINGS","1",768,8,NA,"A4","253 WEST 18TH STREET","",10011,1,0,1,"1,521","6,984",1901,1,"A4","04/11/2019","1"
"136",1,"CHELSEA","01 ONE FAMILY DWELLINGS","1",770,62,NA,"A4","240 WEST 21ST STREET","",10011,1,0,1,"2,162","3,600",1901,1,"A4","10/19/2018","1"
"137",1,"CHELSEA","02 TWO FAMILY DWELLINGS","1",700,56,NA,"S2","540 WEST 29TH STREET","",10001,2,1,3,"2,419","7,061",1910,1,"S2","03/13/2019","1"
"138",1,"CHELSEA","02 TWO FAMILY DWELLINGS","1",700,56,NA,"S2","540 WEST 29TH STREET","",10001,2,1,3,"2,419","7,061",1910,1,"S2","03/13/2019","1"
"139",1,"CHELSEA","02 TWO FAMILY DWELLINGS","1",741,9,NA,"B1","349 WEST 17TH STREET","",10011,2,0,2,"2,024","4,361",1900,1,"B1","10/25/2018","0"
"140",1,"CHELSEA","02 TWO FAMILY DWELLINGS","1",744,22,NA,"B3","329 WEST 20TH STREET","",10011,2,0,2,"1,104","2,460",1910,1,"B3","12/27/2018","0"
"141",1,"CHELSEA","02 TWO FAMILY DWELLINGS","1",746,10,NA,"B9","353 WEST 22ND STREET","",10011,2,0,2,"1,234","3,300",1901,1,"B9","01/03/2019","1"
"142",1,"CHELSEA","02 TWO FAMILY DWELLINGS","1",772,38,NA,"B1","213 WEST 22ND STREET","",10011,2,0,2,"1,199","2,448",1901,1,"B1","09/03/2019","0"
"143",1,"CHELSEA","02 TWO FAMILY DWELLINGS","1",774,80,NA,"B9","278 WEST 25TH STREET","",10001,2,0,2,"937","2,052",1900,1,"B9","08/27/2019","1"
"144",1,"CHELSEA","03 THREE FAMILY DWELLINGS","1",772,39,NA,"C0","211 WEST 22ND STREET","",10011,3,0,3,"847","2,100",1901,1,"C0","08/26/2019","0"
"145",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",719,57,NA,"C5","414-424 WEST 22ND STREET","",10011,40,0,40,"12,215","24,415",1960,2,"C5","12/31/2018","0"
"146",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",738,22,NA,"C5","323 WEST 14TH STREET","",10014,12,0,12,"3,131","10,230",1900,2,"C5","07/31/2019","0"
"147",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",738,48,NA,"C1","312 WEST 15TH STREET","",10011,36,0,36,"5,163","28,078",1900,2,"C1","07/31/2019","0"
"148",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",738,57,NA,"C1","330 WEST 15TH STREET","",10011,24,0,24,"4,000","16,284",1904,2,"C1","07/31/2019","0"
"149",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",745,23,NA,"C4","321 WEST 21ST STREET","",10011,20,0,20,"2,469","13,050",1900,2,"C4","02/21/2019","0"
"150",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",745,24,NA,"C4","319 WEST 21ST STREET","",10011,20,0,20,"2,469","13,050",1900,2,"C4","02/21/2019","0"
"151",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",745,25,NA,"C4","317 WEST 21ST STREET","",10011,20,0,20,"2,469","13,050",1900,2,"C4","02/21/2019","0"
"152",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",765,5,NA,"C1","257-259 WEST 15TH STREET","",10011,29,0,29,"5,151","20,550",1905,2,"C1","07/31/2019","0"
"153",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",765,24,NA,"C4","221 WEST 15TH STREET","",10011,21,0,21,"2,582","10,245",1901,2,"C4","07/31/2019","0"
"154",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",766,60,NA,"C4","228 WEST 17TH STREET, 1A","",10011,15,0,15,"2,100","7,790",1930,2,"C4","08/14/2019","0"
"155",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",769,19,NA,"C7","235 WEST 19TH STREET","",10011,16,2,18,"2,362","9,375",1901,2,"C7","07/31/2019","0"
"156",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",771,62,NA,"C4","244 WEST 22ND STREET","",10011,20,0,20,"2,468","9,620",1901,2,"C4","10/30/2018","1"
"157",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",795,69,NA,"C4","152 WEST 20TH STREET","",10011,20,0,20,"3,329","12,840",1910,2,"C4","05/31/2019","0"
"158",1,"CHELSEA","07 RENTALS - WALKUP APARTMENTS","2",795,69,NA,"C4","152 WEST 20TH","",10011,20,0,20,"3,329","12,840",1910,2,"C4","02/20/2019","0"
"160",1,"CHELSEA","08 RENTALS - ELEVATOR APARTMENTS","2",769,44,NA,"D9","208 WEST 20TH STREET","",10011,20,0,20,"2,050","7,630",1920,2,"D9","11/07/2018","1"
"161",1,"CHELSEA","08 RENTALS - ELEVATOR APARTMENTS","2",770,51,NA,"D1","218-220 WEST 21ST STREET","",10011,35,0,35,"4,911","25,778",1920,2,"D1","07/31/2019","0"
"162",1,"CHELSEA","09 COOPS - WALKUP APARTMENTS","2",719,36,NA,"C6","405 WEST 21ST STREET, 2R","",10011,0,0,0,"0","0",1900,2,"C6","03/01/2019","0"
"163",1,"CHELSEA","09 COOPS - WALKUP APARTMENTS","2",720,77,NA,"C6","405 WEST 23RD STREET, 11H","",10011,0,0,0,"0","0",1900,2,"C6","11/16/2018","0"
"164",1,"CHELSEA","09 COOPS - WALKUP APARTMENTS","2",722,46,NA,"C6","408 WEST 25TH ST, 4RE","",10001,0,0,0,"0","0",1910,2,"C6","08/12/2019","0"
"165",1,"CHELSEA","09 COOPS - WALKUP APARTMENTS","2",722,46,NA,"C6","408 WEST 25TH STREET, 2RE","",10001,0,0,0,"0","0",1910,2,"C6","06/11/2019","0"
"166",1,"CHELSEA","09 COOPS - WALKUP APARTMENTS","2",740,43,NA,"C6","320 WEST 17TH STREET, 5FE","",10011,0,0,0,"0","0",1920,2,"C6","06/18/2019","0"
"167",1,"CHELSEA","09 COOPS - WALKUP APARTMENTS","2",740,43,NA,"C6","320 WEST 17TH STREET, 3FW","",10011,0,0,0,"0","0",1920,2,"C6","10/25/2018","0"
"168",1,"CHELSEA","09 COOPS - WALKUP APARTMENTS","2",740,48,NA,"C6","330 WEST 17TH STREET, 1W","",10011,0,0,0,"0","0",1900,2,"C6","08/07/2019","0"
